# Preprocessing fixings

instance,AllBalls,UnnecessaryBalls
karate,238,180
chesapeake,312,230
dolphins,558,399
rt-retweet,1056,856
polbooks,1260,1030
adjnoun,1344,1093
ia-infect-hyper,1356,1130
C125-9,1625,1364
ia-enron-only,1859,1531
c-fat200-1,3200,2445
c-fat200-2,3200,2849
c-fat200-5,3200,2973
sphere,4644,1656
DD244,5529,4283
ca-netscience,7959,7380
infect-dublin,9020,7968
c-fat500-1,12000,9660
c-fat500-2,12000,10736
c-fat500-5,12000,11372
bio-diseasome,12384,11515
web-polblogs,17361,15889
DD687,20300,16441
rt-twitter-copen,22069,20484
DD68,22475,17743
ia-crime-moreno,24870,21174
DD199,25230,19272
soc-wiki-Vote,27559,25201
DD349,27807,21683
DD497,28896,23412
socfb-Reed98,31746,29201
lattice3D,33000,22414
bal-bin-tree-9,33759,31700
delaunay-n10,33792,24373
stufe,35224,19769
lattice2D,37026,18016
bal-ter-tree-6,38255,36591
email-univ,39655,36052
econ-mahindas,46546,41768
ia-fb-messages,46842,43125
bio-yeast,58320,53722
tesch-routers-rf,Killed
chameleon,Killed
tvshow,Killed
facebook,Killed
DD6,Killed
squirrel,Killed
politician,Killed
government,Killed
