# Original Model
# Buninng Number Conjecture as UB for R

instance,ticks,nodesExplored
karate,15.8389,0
chesapeake,24.9192,0
dolphins,85.97,0
rt-retweet,211.991,0
polbooks,288.418,0
adjnoun,285.463,0
ia-infect-hyper,240.338,0
C125-9,534.521,0
ia-enron-only,531.91,0
c-fat200-1,1754.85,0
c-fat200-2,1658.28,0
c-fat200-5,1732.03,0
sphere,21632.1,0
DD244,4227.67,0
ca-netscience,4570.29,0
infect-dublin,6736.37,0
c-fat500-1,24896.3,0
c-fat500-2,23174.6,0
c-fat500-5,14217.1,0
bio-diseasome,11401.3,0
web-polblogs,21923.5,0
DD687,42705.6,0
rt-twitter-copen,30969,0
DD68,69517.4,0
ia-crime-moreno,55956.2,5
DD199,47942.2,0
soc-wiki-Vote,44835.5,0
DD349,55987.9,0
DD497,118650,0
socfb-Reed98,71451.2,0
lattice3D,1.22646e+06,35
bal-bin-tree-9,171037,0
delaunay-n10,448182,0
stufe,1.14121e+06,0
lattice2D,803315,0
bal-ter-tree-6,308827,0
email-univ,120062,0
econ-mahindas,Killed
ia-fb-messages,Killed
bio-yeast,Killed
tesch-routers-rf,Killed
chameleon,Killed
tvshow,Killed
facebook,Killed
DD6,Killed
squirrel,Killed
politician,Killed
government,Killed
