# Original Model + 1DR Preprocessing
# Buninng Number Conjecture as UB for R

instance,ticks,nodesExplored
karate,2.3653,0
chesapeake,3.49685,0
dolphins,16.1582,0
rt-retweet,24.2889,0
polbooks,38.4568,0
adjnoun,30.2839,0
ia-infect-hyper,26.0783,0
C125-9,58.3145,0
ia-enron-only,57.9129,0
c-fat200-1,528.668,0
c-fat200-2,254.442,0
c-fat200-5,86.4259,0
sphere,12741.2,0
DD244,904.127,0
ca-netscience,310.522,0
infect-dublin,422.732,0
c-fat500-1,8478.56,0
c-fat500-2,4477.47,0
c-fat500-5,713.791,0
bio-diseasome,609.646,0
web-polblogs,1244.35,0
DD687,32814.2,0
rt-twitter-copen,1933.6,0
DD68,19096.2,0
ia-crime-moreno,14103.7,3
DD199,16090.9,0
soc-wiki-Vote,2385.71,0
DD349,21663.7,0
DD497,43632.9,0
socfb-Reed98,8346.71,0
lattice3D,3.06272e+06,187
bal-bin-tree-9,2772.18,0
delaunay-n10,66100.6,0
stufe,183978,0
lattice2D,478258,0
bal-ter-tree-6,3406.68,0
email-univ,17948.8,0
econ-mahindas,33147.2,0
ia-fb-messages,35704.8,0
bio-yeast,Killed
tesch-routers-rf,Killed
chameleon,Killed
tvshow,Killed
facebook,Killed
DD6,Killed
squirrel,Killed
politician,Killed
government,Killed
