# Original Model + 2DR
# Buninng Number Conjecture as UB for R

instance,ticks,userCuts,nodesExplored
karate,15.8389,0,0
chesapeake,24.9192,0,0
dolphins,85.97,0,0
rt-retweet,211.991,0,0
polbooks,288.418,0,0
adjnoun,285.463,0,0
ia-infect-hyper,240.338,0,0
C125-9,534.521,0,0
ia-enron-only,531.91,0,0
c-fat200-1,1754.85,0,0
c-fat200-2,1658.28,0,0
c-fat200-5,1732.06,2,0
sphere,21632.1,0,0
DD244,4227.67,0,0
ca-netscience,4570.29,0,0
infect-dublin,6736.37,0,0
c-fat500-1,24896.3,0,0
c-fat500-2,23174.6,0,0
c-fat500-5,14155.7,6,0
bio-diseasome,11401.3,0,0
web-polblogs,21923.5,0,0
DD687,42705.6,0,0
rt-twitter-copen,30969,0,0
DD68,69517.4,0,0
ia-crime-moreno,55956.2,0,5
DD199,47942.2,0,0
soc-wiki-Vote,Killed
DD349,55790.8,14,0
DD497,118650,0,0
socfb-Reed98,Killed
lattice3D,Killed
bal-bin-tree-9,171037,0,0
delaunay-n10,Killed
stufe,1.14121e+06,0,0
lattice2D,803315,0,0
bal-ter-tree-6,Killed
email-univ,Killed
econ-mahindas,Killed
ia-fb-messages,Illed
bio-yeast,Killed
tesch-routers-rf,Killed
chameleon,Killed
tvshow,Killed
facebook,Killed
DD6,Killed
squirrel,Killed
politician,Killed
government,Killed
