# Perturbated Model
# Buninng Number Conjecture as UB for R

instance,ticks,nodesExplored
karate,8.65973,0
chesapeake,13.9513,0
dolphins,33.312,0
rt-retweet,91.9695,0
polbooks,126.91,0
adjnoun,141.713,0
ia-infect-hyper,154.42,0
C125-9,339.16,0
ia-enron-only,258.327,0
c-fat200-1,951.104,0
c-fat200-2,1709.33,231
c-fat200-5,721.706,0
sphere,216542,19195
DD244,2784.49,104
ca-netscience,3203.61,0
infect-dublin,3493.01,0
c-fat500-1,6848.23,0
c-fat500-2,20290.2,1452
c-fat500-5,8841.91,0
bio-diseasome,5057.56,0
web-polblogs,13970.7,0
DD687,29025,355
rt-twitter-copen,14645.4,0
DD68,21442.4,311
ia-crime-moreno,28234.4,0
DD199,86808.1,2375
soc-wiki-Vote,22112.7,0
DD349,161920,5804
DD497,26531,27
socfb-Reed98,28971.1,0
lattice3D,Killed
bal-bin-tree-9,113468,0
delaunay-n10,3.54597e+06,98862
stufe,1.06931e+06,2934
lattice2D,Killed
bal-ter-tree-6,230182,0
email-univ,52695.6,0
econ-mahindas,Killed
ia-fb-messages,Illed
bio-yeast,Killed
tesch-routers-rf,Killed
chameleon,Killed
tvshow,Killed
facebook,Killed
DD6,Killed
squirrel,Killed
politician,Killed
government,Killed
