# Perturbated Model + Pruning rule
# Buninng Number Conjecture as UB for R

instance,ticks,cutOffs,nodesExplored
karate,8.65973,0,0
chesapeake,13.9513,0,0
dolphins,33.312,0,0
rt-retweet,87.373,1,0
polbooks,126.91,0,0
adjnoun,141.713,0,0
ia-infect-hyper,154.42,0,0
C125-9,339.16,0,0
ia-enron-only,258.327,0,0
c-fat200-1,552.587,1,0
c-fat200-2,618.876,1,0
c-fat200-5,721.706,0,0
sphere,7048.82,1,0
DD244,2187.27,1,0
ca-netscience,2598.44,1,0
infect-dublin,3493.01,0,0
c-fat500-1,3602.55,1,0
c-fat500-2,9814.05,1,0
c-fat500-5,7766.93,1,0
bio-diseasome,5057.56,0,0
web-polblogs,13970.7,0,0
DD687,26205.2,1,0
rt-twitter-copen,14645.4,0,0
DD68,12047.3,1,0
ia-crime-moreno,28234.4,0,0
DD199,24821.4,1,0
soc-wiki-Vote,22112.7,0,0
DD349,29874.1,1,0
DD497,25280.7,1,0
socfb-Reed98,28971.1,0,0
lattice3D,286404,28,55
bal-bin-tree-9,113468,0,0
delaunay-n10,53414.4,1,0
stufe,105055,52,103
lattice2D,329659,31,63
bal-ter-tree-6,230182,0,0
email-univ,40570.7,1,0
econ-mahindas,Killed
ia-fb-messages,Illed
bio-yeast,Killed
tesch-routers-rf,Killed
chameleon,Killed
tvshow,Killed
facebook,Killed
DD6,Killed
squirrel,Killed
politician,Killed
government,Killed
