# Perturbated Model + Pruning rule + 1DR Preprocessing
# Buninng Number Conjecture as UB for R

instance,ticks,cutOffs,nodesExplored
karate,2.30294,0,0
chesapeake,3.56853,0,0
dolphins,7.6705,0,0
rt-retweet,14.8734,0,0
polbooks,20.3225,0,0
adjnoun,20.217,0,0
ia-infect-hyper,26.6524,0,0
C125-9,69.9502,0,0
ia-enron-only,35.7256,0,0
c-fat200-1,141.94,1,0
c-fat200-2,84.678,1,0
c-fat200-5,61.0056,0,0
sphere,5262.52,1,0
DD244,474.556,2,3
ca-netscience,232.859,1,0
infect-dublin,334.592,0,0
c-fat500-1,1848.09,1,0
c-fat500-2,740.971,1,0
c-fat500-5,527.878,1,0
bio-diseasome,482.374,0,0
web-polblogs,1028.91,0,0
DD687,4677.35,7,21
rt-twitter-copen,1343.69,0,0
DD68,2123.4,1,0
ia-crime-moreno,3009.91,0,0
DD199,4132.02,2,3
soc-wiki-Vote,2111.68,0,0
DD349,4539.77,2,3
DD497,4216.91,1,0
socfb-Reed98,3241.81,0,0
lattice3D,1.11914e+06,536,1127
bal-bin-tree-9,2071.67,0,0
delaunay-n10,16192.4,1,0
stufe,49341.4,2,3
lattice2D,208023,81,163
bal-ter-tree-6,2740.25,0,0
email-univ,4241.17,1,0
econ-mahindas,6047.05,0,0
ia-fb-messages,5872.56,0,0
bio-yeast,Killed
tesch-routers-rf,Killed
chameleon,Killed
tvshow,Killed
facebook,Killed
DD6,Killed
squirrel,Killed
politician,Killed
government,Killed
