# Perturbated Model + Pruning rule + 2DR
# Buninng Number Conjecture as UB for R

instance,ticks,userCuts,cutOffs,nodesExplored
karate,8.65973,0,0,0
chesapeake,13.9513,0,0,0
dolphins,33.312,0,0,0
rt-retweet,87.373,0,1,0
polbooks,126.91,0,0,0
adjnoun,141.713,0,0,0
ia-infect-hyper,154.42,0,0,0
C125-9,339.16,0,0,0
ia-enron-only,258.327,0,0,0
c-fat200-1,552.587,0,1,0
c-fat200-2,618.876,0,1,0
c-fat200-5,721.706,0,0,0
sphere,7048.82,0,1,0
DD244,2187.27,0,1,0
ca-netscience,2598.44,0,1,0
infect-dublin,3493.01,0,0,0
c-fat500-1,3602.55,0,1,0
c-fat500-2,9814.05,0,1,0
c-fat500-5,7766.93,1,1,0
bio-diseasome,5057.56,0,0,0
web-polblogs,13970.7,0,0,0
DD687,26205.2,0,1,0
rt-twitter-copen,14645.4,0,0,0
DD68,12047.3,0,1,0
ia-crime-moreno,28234.4,0,0,0
DD199,24821.4,0,1,0
soc-wiki-Vote,Killed
DD349,29874.1,0,1,0
DD497,25280.7,0,1,0
socfb-Reed98,Killed
lattice3D, Killed
bal-bin-tree-9,113468,0,0,0
delaunay-n10,Killed
stufe,110222,25,77,159
lattice2D,329659,0,31,63
bal-ter-tree-6,Killed
email-univ,Killed
econ-mahindasKilled
ia-fb-messages,Killed
bio-yeast,Killed
tesch-routers-rf,Killed
chameleon,Killed
tvshow,Killed
facebook,Killed
DD6,Killed
squirrel,Killed
politician,Killed
government,Killed
