# Original Model
# Heuristic from article as UB for R

instance,ticks
karate,9.71807
chesapeake,10.0646
dolphins,56.2133
rt-retweet,65.9934
polbooks,116.755
adjnoun,74.9201
ia-infect-hyper,80.7865
C125-9,225.853
ia-enron-only,227.622
c-fat200-1,640.052
c-fat200-2,411.611
c-fat200-5,265.511
sphere,18943.6
DD244,1663
ca-netscience,1553.36
infect-dublin,1308.32
c-fat500-1,8217.56
c-fat500-2,5119.13
c-fat500-5,1891.93
bio-diseasome,3759.53
web-polblogs,4152.59
DD687,11398.5
rt-twitter-copen,7134.43
DD68,26860.9
ia-crime-moreno,9600.1
DD199,20094.3
soc-wiki-Vote,6752.74
DD349,45271.4
DD497,24218.8
socfb-Reed98,5820.14
lattice3D,942561
bal-bin-tree-9,12954.3
delaunay-n10,33087
stufe,171028
lattice2D,315338
bal-ter-tree-6,9852.64
email-univ,12407.5
econ-mahindas, Killed
ia-fb-messages,Killed
bio-yeast,Killed
tesch-routers-rf,Killed
chameleon,Killed
tvshow,Killed
facebook,Killed
DD6,Killed
squirrel,Killed
politician,Killed
government,Killed
