# Perturbated Model 
# Heuristic from article as UB for R

instance,ticks
karate,5.62351
chesapeake,5.99843
dolphins,23.1476
rt-retweet,42.2815
polbooks,61.3535
adjnoun,42.2518
ia-infect-hyper,40.9379
C125-9,108.208
ia-enron-only,111.426
c-fat200-1,316.736
c-fat200-2,178.772
c-fat200-5,120.167
sphere,6248.44
DD244,1209.3
ca-netscience,803.847
infect-dublin,698.017
c-fat500-1,3985.8
c-fat500-2,1164.9
c-fat500-5,1345.33
bio-diseasome,1362.01
web-polblogs,2479.7
DD687,6878.73
rt-twitter-copen,3202.74
DD68,4207.74
ia-crime-moreno,4646.08
DD199,11050.1
soc-wiki-Vote,3670.57
DD349,9346.4
DD497,8345.3
socfb-Reed98,2495.21
lattice3D,131019
bal-bin-tree-9,5196.78
delaunay-n10,12402.2
stufe,20337.7
lattice2D,119847
bal-ter-tree-6,5326.79
email-univ,6281.02
econ-mahindasKilled
ia-fb-messages,Killed
bio-yeast,Killed
tesch-routers-rf,Killed
chameleon,Killed
tvshow,Killed
facebook,Killed
DD6,Killed
squirrel,Killed
politician,Killed
government,Killed
